
Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Hawaii,US,2020-04-16 23:30:51,21,094,-157,498,530,9,359,521,15,37,435,20700,45,1,698,84000015,USA,1462,085,8,490
Iowa,US,2020-04-16 23:30:51,42,011,-93,210,2141,60,987,2081,19,81,695,20675,175,2,802,84000019,USA,788,907,8,173
Kentucky,US,2020-04-16 23:30:51,37,668,-84,670,2435,129,862,2306,21,71,130,28324,807,5,297,84000021,USA,827,388,33,141
Maine,US,2020-04-16 23:30:51,44,693,-69,381,796,27,333,769,23,67,802,14872,130,3,391,84000023,USA,1266,773,16,331
Maryland,US,2020-04-16 23:30:51,39,063,-76,802,10784,319,736,10465,24,181,446,58843,2451,2,958,84000024,USA,990,067,22,728
Michigan,US,2020-04-16 23:30:51,43,326,-84,536,28809,1996,617,26813,26,361,592,94286,3809,6,928,84000026,USA,1183,418,13,221
Minnesota,US,2020-04-16 23:30:51,45,694,-93,900,1809,87,1020,1722,27,36,571,41675,475,4,809,84000027,USA,842,524,26,257
Montana,US,2020-04-16 23:30:51,46,921,-110,454,415,7,218,408,30,47,922,9936,52,1,686,84000030,USA,1147,361,12,530
New Hampshire,US,2020-04-16 23:30:51,43,452,-71,563,1139,32,365,1107,33,85,758,12166,178,2,809,84000033,USA,916,012,15,627
New Mexico,US,2020-04-16 23:30:51,34,840,-106,248,1484,36,353,1448,35,88,993,33394,215,2,425,84000035,USA,2002,599,14,487
New York,US,2020-04-16 23:30:51,42,165,-74,948,223691,14832,23887,208859,36,1326,674,550579,50450,6,630,84000036,USA,3265,394,22,553
North Dakota,US,2020-04-16 23:30:51,47,528,-99,783,393,9,163,384,38,64,806,11704,45,2,290,84000038,USA,1930,021,11,450
Oklahoma,US,2020-04-16 23:30:51,35,565,-96,928,2357,131,1240,2226,40,64,440,30899,528,5,557,84000040,USA,844,781,22,401
Rhode Island,US,2020-04-16 23:30:51,41,680,-71,511,3529,87,182,3442,44,333,125,28064,331,2,465,84000044,USA,2649,144,9,379
South Dakota,US,2020-04-16 23:30:51,44,299,-99,438,1311,7,373,1304,46,178,151,10550,55,,533,84000046,USA,1433,634,4,195
Tennessee,US,2020-04-16 23:30:51,35,747,-86,692,6375,136,2786,6239,47,97,106,85049,691,2,133,84000047,USA,1295,505,10,839
Texas,US,2020-04-16 23:30:51,31,054,-97,563,16876,414,3677,16462,48,73,423,158547,1459,2,453,84000048,USA,689,797,8,645
Utah,US,2020-04-16 23:30:51,40,150,-111,862,2683,20,357,2663,49,93,618,49678,238,,745,84000049,USA,1733,427,8,870
Vermont,US,2020-04-16 23:30:51,44,045,-72,710,774,33,15,741,50,126,762,11507,58,4,263,84000050,USA,1884,567,7,493
Virginia,US,2020-04-16 23:30:51,37,769,-78,170,6889,208,951,6681,51,87,122,46444,1337,3,019,84000051,USA,587,361,19,407
West Virginia,US,2020-04-16 23:30:51,38,491,-80,954,728,12,223,716,54,55,026,18306,85,1,648,84000054,USA,1383,675,11,675
Wyoming,US,2020-04-16 23:30:51,42,756,-107,302,296,2,148,294,56,59,528,6427,43,,675,84000056,USA,1292,534,14,527
Alaska,US,2020-04-17 23:30:52,61,370,-152,404,309,9,128,300,2,51,693,9450,36,2,912,84000002,USA,1580,931,11,650
Arizona,US,2020-04-17 23:30:52,33,729,-111,431,4511,169,539,4342,4,61,975,49230,566,3,746,84000004,USA,676,355,12,547
Arkansas,US,2020-04-17 23:30:52,34,969,-92,373,1695,37,593,1658,5,65,468,23494,83,2,182,84000005,USA,907,445,4,896
Delaware,US,2020-04-17 23:30:52,39,318,-75,507,2317,61,378,2256,10,237,942,13350,209,2,632,84000010,USA,1370,968,9,020
District of Columbia,US,2020-04-17 23:30:52,38,897,-77,026,2476,86,573,2390,11,350,832,12643,313,3,473,84000011,USA,1791,430,12,641
Guam,US,2020-04-17 23:30:52,13,444,144,793,136,5,97,131,66,82,811,1076,6,3,676,316,GUM,655,182,4,411
Hawaii,US,2020-04-17 23:30:52,21,094,-157,498,541,9,374,532,15,38,211,21857,45,1,663,84000015,USA,1543,806,8,317
Idaho,US,2020-04-17 23:30:52,44,240,-114,478,1609,41,390,1568,16,99,907,16183,148,2,548,84000016,USA,1004,845,9,198
Iowa,US,2020-04-17 23:30:52,42,011,-93,210,2332,64,1007,2268,19,88,983,21792,183,2,744,84000019,USA,831,529,7,847
Kentucky,US,2020-04-17 23:30:52,37,668,-84,670,2522,137,956,2385,21,73,671,29747,971,5,432,84000021,USA,868,956,38,501
Maine,US,2020-04-17 23:30:52,44,693,-69,381,827,29,352,798,23,70,442,14903,133,3,506,84000023,USA,1269,414,16,082
Maryland,US,2020-04-17 23:30:52,39,063,-76,802,11572,334,736,11238,24,194,705,62009,2612,2,886,84000024,USA,1043,336,22,571
Michigan,US,2020-04-17 23:30:52,43,326,-84,536,30023,2227,629,27796,26,376,829,98959,3674,7,417,84000026,USA,1242,070,12,237
Minnesota,US,2020-04-17 23:30:52,45,694,-93,900,2070,111,1066,1959,27,41,848,43053,518,5,362,84000027,USA,870,382,25,024
Montana,US,2020-04-17 23:30:52,46,921,-110,454,422,8,233,414,30,48,730,10244,54,1,895,84000030,USA,1182,927,12,796
New Hampshire,US,2020-04-17 23:30:52,43,452,-71,563,1287,37,455,1250,33,96,901,12708,190,2,874,84000033,USA,956,821,14,763
New Mexico,US,2020-04-17 23:30:52,34,840,-106,248,1597,44,353,1553,35,95,770,34488,230,2,755,84000035,USA,2068,204,14,402
New York,US,2020-04-17 23:30:52,42,165,-74,948,230597,17131,23887,213466,36,1367,633,550579,52424,7,428,84000036,USA,3265,394,22,734
North Dakota,US,2020-04-17 23:30:52,47,528,-99,783,393,9,172,384,38,64,806,12342,47,2,290,84000038,USA,2035,229,11,959
Oklahoma,US,2020-04-17 23:30:52,35,565,-96,928,2465,136,1331,2329,40,67,393,33620,528,5,517,84000040,USA,919,173,21,419
Rhode Island,US,2020-04-17 23:30:52,41,680,-71,511,4177,118,196,4059,44,394,294,30761,331,2,824,84000044,USA,2903,731,7,924
South Dakota,US,2020-04-17 23:30:52,44,299,-99,438,1411,7,457,1404,46,191,740,11062,63,,496,84000046,USA,1503,209,4,464
Tennessee,US,2020-04-17 23:30:52,35,747,-86,692,6263,141,3017,6122,47,95,400,87273,711,2,251,84000047,USA,1329,382,11,352
Texas,US,2020-04-17 23:30:52,31,054,-97,563,17849,451,4190,17398,48,77,656,169536,1522,2,526,84000048,USA,737,608,8,527
Utah,US,2020-04-17 23:30:52,40,150,-111,862,2793,23,443,2770,49,97,456,55771,244,,823,84000049,USA,1946,032,8,736
