Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Georgia,US,2020-04-14 23:33:31,33.0406,-83.6431,14578,525,Empty,14053,13,143.7758651,61795,2769,3.601317053,84000013,USA,609.4546291,18.99437509
Grand Princess,US,2020-04-14 23:33:31,Empty,Empty,103,0,0,103,99999,Empty,Empty,Empty,0,84099999,USA,Empty,Empty
Idaho,US,2020-04-14 23:33:31,44.2405,-114.4788,1464,33,Empty,1431,16,90.90361547,15114,135,2.254098361,84000016,USA,938.468063,9.221311475
Illinois,US,2020-04-14 23:33:31,40.3495,-88.9861,23248,868,Empty,22380,17,198.0972,110616,4283,3.733654508,84000017,USA,942.5636562,18.42309016
Indiana,US,2020-04-14 23:33:31,39.8494,-86.2583,8527,387,Empty,8140,18,130.3026867,46017,Empty,4.538524686,84000018,USA,703.19441,Empty
Kansas,US,2020-04-14 23:33:31,38.5266,-96.7265,1441,69,Empty,1372,20,59.09399595,14147,327,4.78834143,84000020,USA,580.1545876,22.6925746
Louisiana,US,2020-04-14 23:33:31,31.1695,-91.8678,21518,1013,Empty,20505,22,468.0607996,118422,1977,4.707686588,84000022,USA,2575.922298,9.187656845
Massachusetts,US,2020-04-14 23:33:31,42.2302,-71.5301,28164,844,Empty,27320,25,410.3283151,126551,2340,2.996733419,84000025,USA,1843.752968,8.308478909
Mississippi,US,2020-04-14 23:33:31,32.7416,-89.6787,3087,111,Empty,2976,28,106.6245373,37878,596,3.595724004,84000028,USA,1308.300687,19.30677033
Missouri,US,2020-04-14 23:33:31,38.4561,-92.2884,4746,149,Empty,4597,29,80.99728029,47978,1041,3.139485883,84000029,USA,818.8132141,21.93426043
Nebraska,US,2020-04-14 23:33:31,41.1254,-98.2681,897,20,Empty,877,31,58.80918289,11357,Empty,2.229654404,84000031,USA,744.5885062,Empty
Nevada,US,2020-04-14 23:33:31,38.3135,-117.0554,3134,126,Empty,3008,32,103.8884581,26661,Empty,4.020421187,84000032,USA,883.7811686,Empty
New Jersey,US,2020-04-14 23:33:31,40.2989,-74.521,68824,2805,Empty,66019,34,774.8539493,139774,8185,4.075613158,84000034,USA,1573.643437,11.89265373
North Carolina,US,2020-04-14 23:33:31,35.6301,-79.8064,5113,112,Empty,5001,37,51.55338215,65039,418,2.190494817,84000037,USA,655.7755568,8.175239585
Northern Mariana Islands,US,2020-04-14 23:33:31,15.0979,145.6739,11,2,Empty,9,69,19.9477731,40,Empty,18.18181818,580,MNP,72.53735674,Empty
